10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
126,0,0.0058,58,0.0036,36,1,0.0033,33,0.0106,106,,,,,,,,,,,,,
127,0,0.0055,55,0.0036,36,1,0.0035,35,0.0114,114,,,,,,,,,,,,,
128,0,0.0054,54,0.0033,33,1,0.0027,27,0.012,120,,,,,,,,,,,,,
129,0,0.0074,74,0.0048,48,1,0.0044,44,0.0135,135,,,,,,,,,,,,,
130,0,0.0064,64,0.0032,32,1,0.0035,35,0.0104,104,,,,,,,,,,,,,
131,0,0.0065,65,0.0034,34,1,0.0031,31,0.0108,108,,,,,,,,,,,,,
132,0,0.0068,68,0.0036,36,1,0.0029,29,0.0115,115,,,,,,,,,,,,,
133,0,0.0054,54,0.0023,23,1,0.0022,22,0.0094,94,,,,,,,,,,,,,
134,0,0.0065,65,0.0035,35,1,0.004,40,0.0123,123,,,,,,,,,,,,,
135,0,0.0079,79,0.0047,47,1,0.0045,45,0.0132,132,,,,,,,,,,,,,
136,0,0.0063,63,0.0038,38,1,0.0033,33,0.011,110,,,,,,,,,,,,,
137,0,0.0063,63,0.004,40,1,0.0034,34,0.0104,104,,,,,,,,,,,,,
138,0,0.0062,62,0.0041,41,1,0.0037,37,0.0111,111,,,,,,,,,,,,,
139,0,0.0054,54,0.0047,47,1,0.0026,26,0.0125,125,,,,,,,,,,,,,
140,0,0.0051,51,0.0038,38,1,0.0028,28,0.0115,115,,,,,,,,,,,,,
141,0,0.0067,67,0.0034,34,1,0.0038,38,0.0118,118,,,,,,,,,,,,,
142,0,0.0042,42,0.0034,34,1,0.0017,17,0.011,110,,,,,,,,,,,,,
143,0,0.0085,85,0.0053,53,1,0.0043,43,0.0152,152,,,,,,,,,,,,,
144,0,0.0042,42,0.0032,32,1,0.0019,19,0.0104,104,,,,,,,,,,,,,
145,0,0.0062,62,0.0047,47,1,0.0032,32,0.0142,142,,,,,,,,,,,,,
146,0,0.0054,54,0.005,50,1,0.0034,34,0.0118,118,,,,,,,,,,,,,
147,0,0.0062,62,0.0046,46,1,0.0033,33,0.0133,133,,,,,,,,,,,,,
148,0,0.0058,58,0.0045,45,1,0.0031,31,0.0129,129,,,,,,,,,,,,,
149,0,0.0077,77,0.0033,33,1,0.0043,43,0.012,120,,,,,,,,,,,,,
150,0,0.0069,69,0.005,50,1,0.0036,36,0.0127,127,,,,,,,,,,,,,
151,0,0.0054,54,0.0038,38,1,0.0034,34,0.0126,126,,,,,,,,,,,,,
152,0,0.0052,52,0.0027,27,1,0.0025,25,0.01,100,,,,,,,,,,,,,
153,0,0.006,60,0.0035,35,1,0.0032,32,0.0108,108,,,,,,,,,,,,,
154,0,0.0064,64,0.0034,34,1,0.0025,25,0.0104,104,,,,,,,,,,,,,
155,0,0.0071,71,0.0022,22,1,0.0047,47,0.0095,95,,,,,,,,,,,,,
156,0,0.0067,67,0.0049,49,1,0.0026,26,0.0142,142,,,,,,,,,,,,,
157,0,0.0062,62,0.003,30,1,0.0031,31,0.0122,122,,,,,,,,,,,,,
158,0,0.0049,49,0.0038,38,1,0.0026,26,0.0117,117,,,,,,,,,,,,,
159,0,0.0069,69,0.0048,48,1,0.0039,39,0.0127,127,,,,,,,,,,,,,
160,0,0.0051,51,0.0031,31,1,0.0029,29,0.0102,102,,,,,,,,,,,,,
